Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection,admin1_normalized,analysis_date
Sep 2022,LBN,5800000,Jezzine,2022-09-01,2022-12-31,31000.0,4600.0,0.15,8000.0,0.25,18400.0,0.6,4400.0,0.14,200.0,0.01,0.0,0.0,2023-01-01,2023-04-30,31000.0,4600.0,0.15,8000.0,0.25,18400.0,0.6,3400.0,0.1,1200.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,Jezzine,2022-09-01
Sep 2022,LBN,5800000,Kesrwane,2022-09-01,2022-12-31,253000.0,40000.0,0.15,74000.0,0.3,139000.0,0.55,39000.0,0.15,1000.0,0.0,0.0,0.0,2023-01-01,2023-04-30,253000.0,40000.0,0.16,75000.0,0.3,138000.0,0.55,39000.0,0.15,1000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2022-09-01
Sep 2022,LBN,5800000,Sour,2022-09-01,2022-12-31,239000.0,105000.0,0.44,34000.0,0.14,100000.0,0.42,83000.0,0.35,22000.0,0.09,0.0,0.0,2023-01-01,2023-04-30,239000.0,115000.0,0.48,34000.0,0.14,90000.0,0.38,93000.0,0.39,22000.0,0.09,0.0,0.0,,,,,,,,,,,,,,,,South,2022-09-01
Sep 2022,LBN,5800000,Zahie,2022-09-01,2022-12-31,386000.0,166000.0,0.43,53000.0,0.14,167000.0,0.43,147000.0,0.38,19000.0,0.05,0.0,0.0,2023-01-01,2023-04-30,386000.0,205000.0,0.53,53000.0,0.14,128000.0,0.33,186000.0,0.48,19000.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,Zahie,2022-09-01
Sep 2022,LBN,5800000,West bekaa,2022-09-01,2022-12-31,162000.0,83000.0,0.51,19000.0,0.12,60000.0,0.37,71000.0,0.44,12000.0,0.07,0.0,0.0,2023-01-01,2023-04-30,162000.0,91000.0,0.56,19000.0,0.12,52000.0,0.32,79000.0,0.49,12000.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,Bekaa,2022-09-01
Sep 2022,LBN,5800000,El koura,2022-09-01,2022-12-31,95000.0,23000.0,0.24,24000.0,0.25,48000.0,0.5,21000.0,0.22,2000.0,0.02,0.0,0.0,2023-01-01,2023-04-30,95000.0,24000.0,0.26,24000.0,0.25,47000.0,0.49,22000.0,0.23,2000.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,El koura,2022-09-01
Sep 2022,LBN,5800000,Bent jbell,2022-09-01,2022-12-31,98000.0,32000.0,0.32,27000.0,0.28,39000.0,0.4,28000.0,0.28,4000.0,0.04,0.0,0.0,2023-01-01,2023-04-30,98000.0,36000.0,0.37,27000.0,0.28,35000.0,0.36,32000.0,0.32,4000.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,Bent jbell,2022-09-01
Sep 2022,LBN,5800000,El nabatieh,2022-09-01,2022-12-31,178000.0,64000.0,0.36,32000.0,0.18,82000.0,0.46,55000.0,0.31,9000.0,0.05,0.0,0.0,2023-01-01,2023-04-30,178000.0,73000.0,0.41,32000.0,0.18,73000.0,0.41,64000.0,0.36,9000.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,El Nabatieh,2022-09-01
Sep 2022,LBN,5800000,Baalbek,2022-09-01,2022-12-31,372000.0,195000.0,0.52,37000.0,0.1,140000.0,0.38,158000.0,0.42,37000.0,0.1,0.0,0.0,2023-01-01,2023-04-30,372000.0,223000.0,0.6,37000.0,0.1,112000.0,0.3,176000.0,0.47,47000.0,0.13,0.0,0.0,,,,,,,,,,,,,,,,Baalbek,2022-09-01
Sep 2022,LBN,5800000,Zgharta,2022-09-01,2022-12-31,96000.0,19000.0,0.2,27000.0,0.28,50000.0,0.53,14000.0,0.15,5000.0,0.05,0.0,0.0,2023-01-01,2023-04-30,96000.0,25000.0,0.26,27000.0,0.28,44000.0,0.46,20000.0,0.21,5000.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,Zgharta,2022-09-01
Sep 2022,LBN,5800000,Rachaya,2022-09-01,2022-12-31,43000.0,19000.0,0.45,7000.0,0.15,17000.0,0.4,15000.0,0.36,4000.0,0.09,0.0,0.0,2023-01-01,2023-04-30,43000.0,21500.0,0.5,6500.0,0.15,15000.0,0.35,18000.0,0.41,3500.0,0.09,0.0,0.0,,,,,,,,,,,,,,,,Rachaya,2022-09-01
Sep 2022,LBN,5800000,Marjaayoun,2022-09-01,2022-12-31,78000.0,30300.0,0.4,10700.0,0.13,37000.0,0.47,25300.0,0.33,5000.0,0.07,0.0,0.0,2023-01-01,2023-04-30,78000.0,34000.0,0.45,11000.0,0.13,33000.0,0.42,29000.0,0.38,5000.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,Marjaayoun,2022-09-01
Sep 2022,LBN,5800000,Tripoli,2022-09-01,2022-12-31,260000.0,122000.0,0.47,36000.0,0.14,102000.0,0.39,96000.0,0.37,26000.0,0.1,0.0,0.0,2023-01-01,2023-04-30,260000.0,136000.0,0.52,36000.0,0.14,88000.0,0.34,110000.0,0.42,26000.0,0.1,0.0,0.0,,,,,,,,,,,,,,,,North,2022-09-01
