Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection,analysis_date
Oct 2025,LBN,0,Syrian refugees,2025-11-01,2026-03-31,1000000.0,276943.0,0.28,205708.0,0.21,517359.0,0.52,275608.0,0.28,1335.0,0.0,0.0,0.0,2026-04-01,2026-07-31,1000000.0,334304.0,0.33,204960.0,0.2,460742.0,0.46,297179.0,0.3,37125.0,0.04,0.0,0.0,,,,,,,,,,,,,,,,2025-10-01
Oct 2025,LBN,0,Lebanese residents,2025-11-01,2026-03-31,3864296.0,484211.0,0.13,1940261.0,0.5,1439827.0,0.37,484211.0,0.13,0.0,0.0,0.0,0.0,2026-04-01,2026-07-31,3864296.0,492652.0,0.13,1941954.0,0.5,1429696.0,0.37,492652.0,0.13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2025-10-01
Oct 2025,LBN,0,Newly displaced Syrian,2025-11-01,2026-03-31,95856.0,43135.0,0.45,9586.0,0.1,43135.0,0.45,33549.0,0.35,9586.0,0.1,0.0,0.0,2026-04-01,2026-07-31,95856.0,52720.0,0.55,9586.0,0.1,33549.0,0.35,38342.0,0.4,14378.0,0.15,0.0,0.0,,,,,,,,,,,,,,,,2025-10-01
Mar 2025,LBN,5574517,Others,2025-04-01,2025-06-30,56214.0,19675.0,0.35,8432.0,0.15,28107.0,0.5,16864.0,0.3,2811.0,0.05,0.0,0.0,2025-07-01,2025-10-31,56214.0,16864.0,0.3,8432.0,0.15,30918.0,0.55,16864.0,0.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2025-03-01
Mar 2025,LBN,5574517,Palestinian Refugees,2025-04-01,2025-06-30,223000.0,66900.0,0.3,55750.0,0.25,100350.0,0.45,55750.0,0.25,11150.0,0.05,0.0,0.0,2025-07-01,2025-10-31,223000.0,78050.0,0.35,55750.0,0.25,89200.0,0.4,66900.0,0.3,11150.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,2025-03-01
Nov 2024,LBN,5574517,Palestinian Refugees,2024-10-01,2024-11-30,210220.0,84088.0,0.4,42044.0,0.2,84088.0,0.4,73577.0,0.35,10511.0,0.05,0.0,0.0,2024-12-01,2025-03-31,223026.0,89210.0,0.4,44605.0,0.2,89210.0,0.4,78059.0,0.35,11151.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,2024-11-01
Mar 2024,LBN,5574488,Palestinian Refugees,,,,,,,,,,,,,,,,2024-04-01,2024-09-30,130515.0,43688.0,0.33,28096.0,0.22,58732.0,0.45,42177.0,0.32,1511.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,2024-03-01
Oct 2023,LBN,5575680,Palestinian Refugees,2023-10-01,2024-03-31,130515.0,35651.0,0.27,28096.0,0.22,66769.0,0.51,34140.0,0.26,1511.0,0.01,0.0,0.0,2024-04-01,2024-09-30,130515.0,37162.0,0.28,28096.0,0.22,65258.0,0.5,35651.0,0.27,1511.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,2023-10-01
May 2023,LBN,5800000,Palestinian Refugees,2023-05-01,2023-10-31,211400.0,64990.0,0.3,40710.0,0.19,105700.0,0.5,59820.0,0.28,5170.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-01
