Country Name,Country Code,Series Name,Series Code,YearLabel,Value,Year
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024 [YR2024],45.24304227167184,2024
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2024 [YR2024],89500.0,2024
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024 [YR2024],1.556596112839526,2024
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2024 [YR2024],4618.095924985674,2024
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2024 [YR2024],0.71,2024
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2024 [YR2024],53352289577.46479,2024
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024 [YR2024],28.27058993220827,2024
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2024 [YR2024],3338.473713958945,2024
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2024 [YR2024],45.29926,2024
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2024 [YR2024],389059911003.5657,2024
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024 [YR2024],1.687921123758089,2024
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,2024 [YR2024],35121.66286877422,2024
Saudi Arabia,SAU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2024 [YR2024],3.75,2024
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2024 [YR2024],1239804533333.3333,2024
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024 [YR2024],1.66336510224894,2024
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2024 [YR2024],50273.50604698368,2024
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2024 [YR2024],3.6725,2024
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2024 [YR2024],552324846834.5814,2024
United Arab Emirates,ARE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2024 [YR2024],0.325377524202418,2024
United Arab Emirates,ARE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2023 [YR2023],0.359500450678101,2023
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2024 [YR2024],7.59757023635599,2024
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2023 [YR2023],4.93326942206534,2023
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2022 [YR2022],5.94293350334715,2022
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2021 [YR2021],7.4144321712116,2021
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2020 [YR2020],7.71274724506713,2020
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2019 [YR2019],8.40388463187991,2019
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2018 [YR2018],9.71698574857486,2018
"Egypt, Arab Rep.",EGY,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2017 [YR2017],9.96018840777921,2017
