date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,baseline_usd,price_index,is_basket_item
2012-11-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7125.0,4.75,3.501741935483871,135.64677487701974,True
2012-11-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1458.33,0.97,1.2923497267759563,75.05708245243129,False
2012-11-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-11-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,13250.0,8.83,7.084666666666666,124.63536275524606,True
2012-11-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6986.11,4.66,3.501741935483871,133.07662545829726,True
2012-11-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1785.76,1.19,1.7433116883116881,68.26088576004769,False
2012-11-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1980.56,1.32,1.4978538812785387,88.1260860287169,False
2012-11-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,14000.0,9.33,7.084666666666666,131.69285781499954,True
2012-11-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1812.5,1.21,1.2923497267759563,93.62790697674419,False
2012-11-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-11-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,16137.5,10.76,7.084666666666666,151.87729368589441,True
2012-11-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7157.14,4.77,3.501741935483871,136.2179191922914,True
2012-11-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1978.4,1.32,1.7433116883116881,75.71795731366635,False
2012-11-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1761.9,1.17,1.2923497267759563,90.53276955602536,False
2012-11-15,North,Tripoli,North,1705,34.44,35.83,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1947.33,1.3,1.4978538812785387,86.79084230100906,False
2012-11-15,North,Tripoli,North,1705,34.44,35.83,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15521.43,10.35,7.084666666666666,146.0901477368966,True
2012-11-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7500.0,5.0,3.501741935483871,142.78607881791552,True
2012-11-15,North,Zgharta,Zgharta,1709,34.4,35.9,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-12-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1864.52,1.24,1.7433116883116881,71.12899020374716,False
2012-12-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1789.33,1.19,1.2923497267759563,92.08033826638477,False
2012-12-15,Akkar,Akkar,Akkar,1684,34.53,36.08,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1969.67,1.31,1.4978538812785387,87.45846416486299,False
2012-12-15,Akkar,Akkar,Akkar,1684,34.53,36.08,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15628.67,10.41,7.084666666666666,146.937047144067,True
2012-12-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1735.53,1.16,1.7433116883116881,66.540023093828,False
2012-12-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1680.0,1.12,1.2923497267759563,86.66384778012686,False
2012-12-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1910.0,1.27,1.4978538812785387,84.7879767094473,False
2012-12-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,13432.5,8.95,7.084666666666666,126.32916156958689,True
2012-12-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1892.86,1.26,1.2923497267759563,97.4968287526427,False
2012-12-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,13214.29,8.8,7.084666666666666,124.21191305166089,True
2012-12-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7000.0,4.66,3.501741935483871,133.07662545829726,True
2012-12-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-12-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,14500.0,9.66,7.084666666666666,136.35080455443682,True
2012-12-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6500.0,4.33,3.501741935483871,123.65274425631483,True
2012-12-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1850.0,1.23,1.7433116883116881,70.55536931500727,False
2012-12-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1333.33,0.89,1.2923497267759563,68.86680761099366,False
2012-12-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-12-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,14250.0,9.49,7.084666666666666,133.95125623412065,True
2012-12-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6592.11,4.39,3.501741935483871,125.36617720212982,True
2012-12-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1776.97,1.18,1.7433116883116881,67.68726487130779,False
2012-12-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1465.79,0.98,1.2923497267759563,75.830866807611,False
2012-12-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1973.68,1.31,1.4978538812785387,87.45846416486299,False
2012-12-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,13342.11,8.89,7.084666666666666,125.48226216241649,True
2012-12-15,El Nabatieh,El Nabatiye,El Nabatieh,1702,33.38,35.48,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6875.0,4.58,3.501741935483871,130.79204819721062,True
2012-12-15,El Nabatieh,El Nabatiye,El Nabatieh,1702,33.38,35.48,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1665.0,1.11,1.7433116883116881,63.671918650128525,False
2012-12-15,El Nabatieh,El Nabatiye,El Nabatieh,1702,33.38,35.48,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-12-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1812.5,1.21,1.2923497267759563,93.62790697674419,False
2012-12-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,16137.5,10.75,7.084666666666666,151.73614378469935,True
2012-12-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7190.0,4.79,3.501741935483871,136.78906350756307,True
2012-12-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1750.0,1.17,1.2923497267759563,90.53276955602536,False
2012-12-15,North,Tripoli,North,1705,34.44,35.83,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1944.7,1.3,1.4978538812785387,86.79084230100906,False
2012-12-15,North,Tripoli,North,1705,34.44,35.83,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15757.5,10.5,7.084666666666666,148.2073962548226,True
2012-12-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7500.0,5.0,3.501741935483871,142.78607881791552,True
2012-12-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,2000.0,1.33,1.2923497267759563,102.91331923890064,False
2012-12-15,North,Zgharta,Zgharta,1709,34.4,35.9,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-12-15,South,Saida,South,1704,33.56,35.38,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6458.33,4.3,3.501741935483871,122.79602778340734,True
2012-12-15,South,Saida,South,1704,33.56,35.38,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1908.33,1.27,1.2923497267759563,98.27061310782241,False
2012-12-15,South,Sour,Sour,1706,33.27,35.2,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7625.0,5.08,3.501741935483871,145.07065607900216,True
2012-12-15,South,Sour,Sour,1706,33.27,35.2,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1729.75,1.15,1.7433116883116881,65.96640220508809,False
2012-12-15,South,Sour,Sour,1706,33.27,35.2,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,2044.4,1.36,1.2923497267759563,105.23467230443974,False
2012-12-15,South,Sour,Sour,1706,33.27,35.2,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2700.0,1.8,1.4978538812785387,120.17193549370486,False
2013-01-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6862.07,4.57,3.501741935483871,130.5064760395748,True
2013-01-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1941.96,1.29,1.7433116883116881,73.99709464744664,False
2013-01-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1773.45,1.18,1.2923497267759563,91.30655391120507,False
2013-01-15,Akkar,Akkar,Akkar,1684,34.53,36.08,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1989.83,1.33,1.4978538812785387,88.79370789257082,False
2013-01-15,Akkar,Akkar,Akkar,1684,34.53,36.08,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,16198.79,10.79,7.084666666666666,152.30074338947963,True
2013-01-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6608.97,4.4,3.501741935483871,125.65174935976566,True
2013-01-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1769.06,1.18,1.7433116883116881,67.68726487130779,False
2013-01-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1606.25,1.07,1.2923497267759563,82.79492600422833,False
2013-01-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,12835.0,8.55,7.084666666666666,120.68316552178415,True
2013-01-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,6500.0,4.33,3.501741935483871,123.65274425631483,True
2013-01-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1687.5,1.12,1.2923497267759563,86.66384778012686,False
2013-01-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2125.0,1.42,1.4978538812785387,94.80230466725604,False
2013-01-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,11750.0,7.83,7.084666666666666,110.52037263573918,True
2013-01-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7000.0,4.66,3.501741935483871,133.07662545829726,True
2013-01-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1734.38,1.16,1.7433116883116881,66.540023093828,False
2013-01-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1625.0,1.08,1.2923497267759563,83.56871035940804,False
2013-01-15,Bekaa,Rachiaya,Rashaya,1703,33.53,35.87,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
